"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
AĞRI;DİYADİN;YUKARI DALÖREN;31810549;"109";"115";3709.08;3709.0776192401;SAZLIK;HazineTam;POLYGON ((43.611729125907 39.419670036333, 43.611476163631 39.419807213188, 43.611385829088 39.420003432943, 43.61130554419 39.420003366048, 43.611176053898 39.419874836087, 43.611110296597 39.419612067372, 43.611146320276 39.419552809157, 43.611361034946 39.419199605526, 43.611687064198 39.419148719521, 43.6118865441 39.419533402907, 43.611729125907 39.419670036333))
AĞRI;DİYADİN;YUKARI DALÖREN;31810552;"109";"116";1660.56;1660.56393079801;Ham Toprak;HazineTam;POLYGON ((43.613242556274 39.420929405249, 43.613366072302 39.420562796806, 43.613359138978 39.420482564555, 43.613343986276 39.420397541879, 43.613443942479 39.420251124617, 43.61354776107 39.420118389273, 43.613657494815 39.420040493381, 43.613707639222 39.420187138951, 43.613748805608 39.420307528158, 43.61355019361 39.420476754245, 43.61341659193 39.420672045513, 43.613393306324 39.420903065988, 43.613564665074 39.420944269388, 43.61349499989 39.42103232491, 43.613273710107 39.420946492913, 43.613242556274 39.420929405249))
AĞRI;DİYADİN;YUKARI DALÖREN;31810553;"109";"117";1112.63;1112.63319785536;Ham Toprak;HazineTam;POLYGON ((43.621231967873 39.409853776521, 43.621247427156 39.40964777154, 43.621314763702 39.409508264773, 43.6214085282 39.409488273621, 43.621483477383 39.409556450244, 43.621634539461 39.409611325362, 43.621910941392 39.409544456941, 43.622048304325 39.409460692642, 43.622133218582 39.409501597809, 43.622054900834 39.409569120266, 43.621944634892 39.409570398859, 43.62154555901 39.409702030214, 43.621504759838 39.409769834793, 43.621405502649 39.409803414934, 43.621231967873 39.409853776521))
AĞRI;DİYADİN;YUKARI DALÖREN;31811934;"109";"44";3200.72;3200.71892669599;HAM TOPRAK;HazineTam;POLYGON ((43.621061043754 39.415701880078, 43.620982423061 39.415834621416, 43.620094830643 39.415095066102, 43.619682426672 39.414958381303, 43.619118017439 39.4149111266, 43.618944306028 39.414620994814, 43.619015390719 39.414643319551, 43.619136706515 39.414776823591, 43.619726954198 39.41482624151, 43.620197168607 39.414982086576, 43.621061043754 39.415701880078))
AĞRI;DİYADİN;YUKARI DALÖREN;31810496;"109";"53";3701.16;3701.16283758233;Ham Toprak;HazineTam;POLYGON ((43.623113638787 39.410272239225, 43.622680257154 39.41023426125, 43.62256061582 39.410257106987, 43.622844194411 39.409445440257, 43.622995586259 39.409529039588, 43.623116455886 39.409574346404, 43.623286326647 39.409638020514, 43.623307544143 39.409729841815, 43.623113638787 39.410272239225))
AĞRI;DİYADİN;YUKARI DALÖREN;31810493;"109";"57";1583.21;1583.21122102072;Ham Toprak;HazineTam;POLYGON ((43.620671782885 39.410463195809, 43.620421429799 39.410573088525, 43.619381271537 39.410414281699, 43.619812029027 39.410286771505, 43.620155644665 39.41036734133, 43.620671782885 39.410463195809))
AĞRI;DİYADİN;YUKARI DALÖREN;31810495;"109";"60";9086.68;9086.68358749406;Ham Toprak;HazineTam;POLYGON ((43.620958561421 39.411265328825, 43.621077419067 39.411544132305, 43.621133231462 39.411841777665, 43.620718274013 39.412268922533, 43.620435806876 39.412235265459, 43.620421429799 39.410573088525, 43.620882269052 39.410648300536, 43.620909134922 39.410671333725, 43.621072540539 39.410641955034, 43.620958561421 39.411265328825))
AĞRI;DİYADİN;YUKARI DALÖREN;31810516;"109";"79";1853.65;1853.65017256994;Ham Toprak;HazineTam;POLYGON ((43.614696677107 39.416745295734, 43.61461529371 39.416700608419, 43.614679075943 39.416678914677, 43.614776810785 39.416508205919, 43.615273486496 39.416341382608, 43.616078211661 39.416364263003, 43.615823087403 39.41638459928, 43.614696677107 39.416745295734))
AĞRI;DİYADİN;YUKARI DALÖREN;31810554;"110";"1";3133.15;3133.1487314318;Ham Toprak;HazineTam;POLYGON ((43.613362875433 39.423994716603, 43.612685919014 39.424015825079, 43.612457785392 39.423956704459, 43.612289529731 39.423938458175, 43.61220009162 39.423893204735, 43.612077538224 39.423799740132, 43.612017033005 39.423779392753, 43.611965689966 39.423731434988, 43.611997761893 39.42365558351, 43.612022935426 39.423696701742, 43.612049062047 39.423750071283, 43.612136300214 39.423804350198, 43.612198531981 39.423837183221, 43.612346633144 39.423887351665, 43.612493527235 39.423930471383, 43.612780991545 39.423925118993, 43.613015644722 39.423795980156, 43.613356493734 39.423530414396, 43.613554029332 39.42334507218, 43.613610933014 39.423380741056, 43.613734148895 39.423360548911, 43.613634399332 39.423698511724, 43.613527679025 39.423767031562, 43.613362875433 39.423994716603))
AĞRI;DİYADİN;YUKARI DALÖREN;31810578;"110";"35";14310.19;14310.1932970668;ÇAYIR;HazineTam;POLYGON ((43.623430844645 39.419769850361, 43.622066699545 39.419970458865, 43.621864505774 39.42000777334, 43.62184910598 39.420095134935, 43.621710322945 39.420141432498, 43.621480999903 39.419709712809, 43.621440691067 39.419297895011, 43.622191744526 39.418874486945, 43.622188416807 39.419139610627, 43.622696325237 39.41914846327, 43.623067003923 39.419261138385, 43.623417580616 39.419165008725, 43.623430844645 39.419769850361))
